Link,Date,Time,Day,School Day
 https://www..com/watch?v=Sv291oXa0pg,05/01/2024, 16:40:20 GMT,Friday,No
 https://www..com/watch?v=_COBc4Paiek,05/01/2024, 16:39:55 GMT,Friday,No
 https://www..com/watch?v=dwpxt4WrS4Y,05/01/2024, 16:36:14 GMT,Friday,No
 https://www..com/watch?v=vmkF5ko4T1w,05/01/2024, 16:16:10 GMT,Friday,No
 https://www..com/watch?v=HuxdgVjtHG0,05/01/2024, 16:06:41 GMT,Friday,No
 https://www..com/watch?v=4az_vLukAh8,05/01/2024, 16:03:21 GMT,Friday,No
 https://www..com/watch?v=ifeRq6d9_KI,05/01/2024, 16:03:15 GMT,Friday,No
https://www..com/watch?v=g7WvBQ-X8mg,05/01/2024, 16:02:20 GMT,Friday,No
 https://www..com/watch?v=WreU5GxrRks,05/01/2024, 14:50:52 GMT,Friday,No
 https://www..com/watch?v=8PpNJ9pwius,05/01/2024, 14:35:58 GMT,Friday,No
 https://www..com/watch?v=UjyV49BJsWI,05/01/2024, 14:35:47 GMT,Friday,No
 https://www..com/watch?v=HMp9fFBf3xo,05/01/2024, 14:35:35 GMT,Friday,No
 https://www..com/watch?v=T0jDOL6lv4E,05/01/2024, 14:34:15 GMT,Friday,No
 https://www..com/watch?v=u5-MP5q15og,05/01/2024, 14:13:53 GMT,Friday,No
 https://www..com/watch?v=gEozPeVocO0,05/01/2024, 14:12:51 GMT,Friday,No
 https://www..com/watch?v=uedAuyqlm-0,05/01/2024, 14:11:53 GMT,Friday,No
 https://www..com/watch?v=7hqnWy4c34g,05/01/2024, 14:11:17 GMT,Friday,No
 https://www..com/watch?v=ijNxxYg70bQ,05/01/2024, 14:10:15 GMT,Friday,No
 https://www..com/watch?v=_rqPGshgHAU,05/01/2024, 14:10:07 GMT,Friday,No
 https://www..com/watch?v=mOYT0wcYgP8,05/01/2024, 14:09:06 GMT,Friday,No
 https://www..com/watch?v=dLU66ASiMpE,05/01/2024, 14:08:04 GMT,Friday,No
 https://www..com/watch?v=BwIdkB0tDAo,05/01/2024, 14:07:07 GMT,Friday,No
https://www..com/watch?v=KBuBBM6Ge1I,05/01/2024, 14:06:20 GMT,Friday,No
 https://www..com/watch?v=vEgDmmAhZTw,05/01/2024, 14:05:25 GMT,Friday,No
 https://www..com/watch?v=ioqllEN-Za8,05/01/2024, 14:05:25 GMT,Friday,No
 https://www..com/watch?v=zNEtVaNQ0s8,05/01/2024, 13:59:22 GMT,Friday,No
,,,,No
 https://www..com/watch?v=wv1TQXBQ6wQ,05/01/2024, 13:51:54 GMT,Friday,No
,,,,No
 https://www..com/watch?v=jj5O8G_n2-o,05/01/2024, 01:16:31 GMT,Friday,No
,,,,No
 https://www..com/watch?v=ZyLLS9_SL1c,05/01/2024, 01:16:06 GMT,Friday,No
,,,,No
 https://www..com/watch?v=VUBdJxoveXI,05/01/2024, 01:15:31 GMT,Friday,No
,,,,No
 https://www..com/watch?v=QAoxsOnoYBU,05/01/2024, 01:14:29 GMT,Friday,No
,,,,No
 https://www..com/watch?v=t1uzrjLrgGY,05/01/2024, 01:13:44 GMT,Friday,No
,,,,No
 https://www..com/watch?v=AEHFB1iotKY,05/01/2024, 01:12:45 GMT,Friday,No
,,,,No
 https://www..com/watch?v=mVloPiNhllY,05/01/2024, 01:12:01 GMT,Friday,No
,,,,No
 https://www..com/watch?v=yKi0xsaman8,05/01/2024, 01:11:55 GMT,Friday,No
,,,,No
 https://www..com/watch?v=S1G6j7RCFAs,05/01/2024, 01:10:54 GMT,Friday,No
,,,,No
 https://www..com/watch?v=cQJTDJvt0WA,05/01/2024, 01:09:51 GMT,Friday,No
,,,,No
 https://www..com/watch?v=bTekUncq_eU,05/01/2024, 01:08:50 GMT,Friday,No
,,,,No
 https://www..com/watch?v=D_hoo2bOgZY,05/01/2024, 01:07:48 GMT,Friday,No
,,,,No
 https://www..com/watch?v=QFevhTj9ZRY,05/01/2024, 01:06:42 GMT,Friday,No
,,,,No
 https://www..com/watch?v=Br07G8oNerI,05/01/2024, 01:06:12 GMT,Friday,No
,,,,No
 https://www..com/watch?v=XFSZlfWkvBE,05/01/2024, 01:05:13 GMT,Friday,No
,,,,No
 https://www..com/watch?v=9NNEW8U0lvI,05/01/2024, 01:04:54 GMT,Friday,No
,,,,No
 https://www..com/watch?v=83qBfG4PYiI,05/01/2024, 01:04:44 GMT,Friday,No
,,,,No
 https://www..com/watch?v=5gyxDnVUa2M,05/01/2024, 01:03:46 GMT,Friday,No
,,,,No
 https://www..com/watch?v=O9R2hc7TIMQ,05/01/2024, 01:03:44 GMT,Friday,No
,,,,No
 https://www..com/watch?v=Dc7o_-MqXNE,05/01/2024, 01:03:24 GMT,Friday,No
,,,,No
 https://www..com/watch?v=QIkkA2wBqLM,05/01/2024, 01:03:01 GMT,Friday,No
,,,,No
 https://www..com/watch?v=Qkc6VI-YKYI,05/01/2024, 01:02:41 GMT,Friday,No
,,,,No
 https://www..com/watch?v=sPyMYUh_-E4,05/01/2024, 01:02:39 GMT,Friday,No
,,,,No
 https://www..com/watch?v=GxRHx_LSV_o,05/01/2024, 01:02:36 GMT,Friday,No
,,,,No
 https://www..com/watch?v=jnRrCZQqRKw,05/01/2024, 01:01:41 GMT,Friday,No
,,,,No
 https://www..com/watch?v=NNq2tFKmjxo,05/01/2024, 01:00:35 GMT,Friday,No
,,,,No
 https://www..com/watch?v=SPmv8JXhJRI,05/01/2024, 01:00:24 GMT,Friday,No
,,,,No
 https://www..com/watch?v=fhrXObswfz0,05/01/2024, 00:59:26 GMT,Friday,No
,,,,No
 https://www..com/watch?v=kBU_v4SuPS0,05/01/2024, 00:58:30 GMT,Friday,No
,,,,No
 https://www..com/watch?v=HfAtwmgZzu4,05/01/2024, 00:57:47 GMT,Friday,No
,,,,No
 https://www..com/watch?v=OrTkQeKV6cs,05/01/2024, 00:57:19 GMT,Friday,No
